CustomerID,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_Score,Segment
12493.0,166,22,433.74,2,2,2,222,Lost Customers
12494.0,16,77,1246.1000000000001,5,4,4,544,Loyal Customers
12497.0,82,14,1043.1,3,1,4,314,Lost Customers
12498.0,22,23,403.70000000000005,4,2,2,422,Lost Customers
12500.0,24,61,4257.82,4,4,5,445,Loyal Customers
12501.0,162,149,2169.39,2,5,5,255,Loyal Customers
12502.0,188,147,3723.87,2,5,5,255,Loyal Customers
12504.0,19,9,482.04999999999995,4,1,2,412,Lost Customers
12506.0,233,23,73.5,1,2,1,121,Lost Customers
12507.0,135,21,1304.81,2,2,4,224,Lost Customers
12508.0,27,69,398.27,4,4,2,442,Potential Loyalists
12509.0,285,7,176.5,1,1,1,111,Lost Customers
12510.0,143,33,982.5699999999999,2,3,4,234,At Risk
12512.0,244,34,138.03,1,3,1,131,At Risk
12513.0,113,35,612.29,2,3,3,233,At Risk
12514.0,268,51,1017.68,1,3,4,134,At Risk
12515.0,354,16,383.7,1,2,2,122,Lost Customers
12516.0,4,26,1312.06,5,2,4,524,Lost Customers
12517.0,29,284,2502.84,4,5,5,455,Loyal Customers
12518.0,0,124,2056.89,5,5,4,554,Loyal Customers
12519.0,153,18,340.84,2,2,2,222,Lost Customers
12520.0,37,152,2634.26,4,5,5,455,Loyal Customers
12521.0,143,38,599.68,2,3,3,233,At Risk
12522.0,40,12,192.72,4,1,1,411,Lost Customers
12523.0,9,106,1789.77,5,4,4,544,Loyal Customers
12524.0,10,144,4485.72,5,5,5,555,Champions
12526.0,54,71,1316.66,3,4,4,344,Loyal Customers
12527.0,82,18,348.71000000000004,3,2,2,322,Lost Customers
12528.0,10,92,1933.48,5,4,4,544,Loyal Customers
12530.0,30,66,1662.28,4,4,4,444,Loyal Customers
12531.0,15,17,125.22,5,2,1,521,Lost Customers
12532.0,90,16,349.83000000000004,2,2,2,222,Lost Customers
12534.0,336,63,1089.18,1,4,4,144,Loyal Customers
12535.0,92,34,716.35,2,3,3,233,At Risk
12536.0,30,261,12601.830000000002,4,5,5,455,Loyal Customers
12538.0,60,21,363.95,3,2,2,322,Lost Customers
12539.0,23,273,5568.35,4,5,5,455,Loyal Customers
12540.0,20,478,13400.24,4,5,5,455,Loyal Customers
12541.0,60,52,981.18,3,3,4,334,Potential Loyalists
12544.0,274,19,372.7,1,2,2,122,Lost Customers
12545.0,76,50,1000.39,3,3,4,334,Potential Loyalists
12546.0,47,69,1161.5,3,4,4,344,Loyal Customers
12547.0,198,8,207.79999999999998,1,1,1,111,Lost Customers
12548.0,167,5,95.19999999999999,2,1,1,211,Lost Customers
12550.0,80,57,964.83,3,3,4,334,Potential Loyalists
12551.0,358,10,168.0,1,1,1,111,Lost Customers
12552.0,40,20,437.82,4,2,2,422,Lost Customers
12553.0,0,191,3692.28,5,5,5,555,Champions
12556.0,33,121,603.71,4,4,3,443,Potential Loyalists
12557.0,17,33,11990.960000000001,5,3,5,535,Potential Loyalists
12558.0,301,11,269.96,1,1,2,112,Lost Customers
12559.0,311,21,561.71,1,2,3,123,Lost Customers
12560.0,113,105,2134.01,2,4,5,245,Loyal Customers
12561.0,69,16,238.85,3,2,1,321,Lost Customers
12562.0,23,168,3781.7400000000002,4,5,5,455,Loyal Customers
12564.0,262,21,456.9,1,2,2,122,Lost Customers
12565.0,289,9,145.92,1,1,1,111,Lost Customers
12566.0,87,19,351.65,3,2,2,322,Lost Customers
12567.0,23,446,9401.28,4,5,5,455,Loyal Customers
12569.0,0,188,4124.69,5,5,5,555,Champions
12571.0,40,34,519.61,4,3,3,433,Potential Loyalists
12572.0,52,60,1020.42,3,4,4,344,Loyal Customers
12573.0,228,28,160.54000000000002,1,2,1,121,Lost Customers
12574.0,316,11,218.45,1,1,1,111,Lost Customers
12576.0,130,88,1315.83,2,4,4,244,Loyal Customers
12577.0,243,147,657.8,1,5,3,153,At Risk
12578.0,22,114,2794.51,4,4,5,445,Loyal Customers
12579.0,79,29,440.42,3,2,2,322,Lost Customers
12580.0,159,24,415.7,2,2,2,222,Lost Customers
12581.0,40,15,197.71,4,2,1,421,Lost Customers
12582.0,239,22,511.36,1,2,3,123,Lost Customers
12583.0,0,247,7281.38,5,5,5,555,Champions
12584.0,18,96,2338.15,5,4,5,545,Loyal Customers
12585.0,235,87,2040.1,1,4,4,144,Loyal Customers
12586.0,18,11,196.94000000000003,5,1,1,511,Lost Customers
12587.0,301,4,144.0,1,1,1,111,Lost Customers
12588.0,40,10,214.89999999999998,4,1,1,411,Lost Customers
12589.0,29,35,646.68,4,3,3,433,Potential Loyalists
12590.0,5,68,9864.26,5,4,5,545,Loyal Customers
12591.0,318,26,452.84999999999997,1,2,2,122,Lost Customers
12592.0,66,18,437.6,3,2,2,322,Lost Customers
12593.0,109,21,418.09999999999997,2,2,2,222,Lost Customers
12594.0,47,118,3338.2200000000003,3,4,5,345,Loyal Customers
12596.0,36,27,618.27,4,2,3,423,Lost Customers
12597.0,20,206,3811.22,4,5,5,455,Loyal Customers
12598.0,10,132,3023.08,5,5,5,555,Champions
12599.0,33,62,1032.58,4,4,4,444,Loyal Customers
12600.0,29,64,2599.04,4,4,5,445,Loyal Customers
12601.0,39,28,577.0600000000001,4,2,3,423,Lost Customers
12602.0,0,12,153.12,5,1,1,511,Lost Customers
12603.0,22,2,739.1999999999999,4,1,3,413,Lost Customers
12604.0,80,16,254.18,3,2,2,322,Lost Customers
12607.0,61,101,1579.51,3,4,4,344,Loyal Customers
12609.0,79,60,1126.85,3,4,4,344,Loyal Customers
12610.0,23,106,2099.54,4,4,5,445,Loyal Customers
12611.0,53,65,1193.32,3,4,4,344,Loyal Customers
12612.0,75,19,704.0400000000001,3,2,3,323,Lost Customers
12613.0,58,153,3344.38,3,5,5,355,Loyal Customers
12614.0,160,20,315.6,2,2,2,222,Lost Customers
12615.0,72,105,2291.19,3,4,5,345,Loyal Customers
12616.0,215,32,713.3,1,3,3,133,At Risk
12617.0,60,42,355.53,3,3,2,332,Potential Loyalists
12618.0,22,11,177.31,4,1,1,411,Lost Customers
12619.0,17,90,3641.24,5,4,5,545,Loyal Customers
12620.0,15,92,1339.41,5,4,4,544,Loyal Customers
12621.0,5,467,13689.67,5,5,5,555,Champions
12622.0,233,11,180.1,1,1,1,111,Lost Customers
12623.0,129,18,305.1,2,2,2,222,Lost Customers
12624.0,107,38,641.13,2,3,3,233,At Risk
12625.0,5,86,2683.82,5,4,5,545,Loyal Customers
12626.0,24,294,6620.48,4,5,5,455,Loyal Customers
12627.0,11,230,4478.53,5,5,5,555,Champions
12628.0,182,41,786.46,2,3,3,233,At Risk
12630.0,10,64,1270.88,5,4,4,544,Loyal Customers
12631.0,58,31,640.5,3,3,3,333,Potential Loyalists
12633.0,0,101,2163.98,5,4,5,545,Loyal Customers
12635.0,31,101,1689.18,4,4,4,444,Loyal Customers
12637.0,92,390,6021.9,2,5,5,255,Loyal Customers
12638.0,182,39,671.69,2,3,3,233,At Risk
12639.0,239,22,486.1,1,2,2,122,Lost Customers
12640.0,24,53,1174.58,4,3,4,434,Potential Loyalists
12641.0,116,10,185.9,2,1,1,211,Lost Customers
12642.0,26,47,1013.26,4,3,4,434,Potential Loyalists
12643.0,39,24,3344.64,4,2,5,425,Lost Customers
12644.0,305,31,477.91,1,3,2,132,At Risk
12645.0,110,73,1775.18,2,4,4,244,Loyal Customers
12646.0,50,45,1346.97,3,3,4,334,Potential Loyalists
12647.0,23,121,3722.82,4,4,5,445,Loyal Customers
12648.0,125,21,318.05,2,2,2,222,Lost Customers
12649.0,35,31,623.51,4,3,3,433,Potential Loyalists
12650.0,181,20,314.44,2,2,2,222,Lost Customers
12651.0,100,9,114.0,2,1,1,211,Lost Customers
12652.0,9,48,919.98,5,3,3,533,Potential Loyalists
12653.0,149,43,2209.85,2,3,5,235,At Risk
12654.0,11,38,601.98,5,3,3,533,Potential Loyalists
12656.0,18,126,4051.17,5,5,5,555,Champions
12657.0,12,47,1643.18,5,3,4,534,Potential Loyalists
12658.0,19,36,686.05,4,3,3,433,Potential Loyalists
12659.0,60,5,91.68,3,1,1,311,Lost Customers
12660.0,12,13,245.1,5,1,1,511,Lost Customers
12662.0,23,230,3849.78,4,5,5,455,Loyal Customers
12664.0,0,37,4881.88,5,3,5,535,Potential Loyalists
12665.0,325,3,63.0,1,1,1,111,Lost Customers
12667.0,0,33,620.13,5,3,3,533,Potential Loyalists
12668.0,12,161,3807.15,5,5,5,555,Champions
12669.0,3,101,2744.0299999999997,5,4,5,545,Loyal Customers
12670.0,11,92,2996.05,5,4,5,545,Loyal Customers
12672.0,330,10,225.89999999999998,1,1,1,111,Lost Customers
12673.0,242,42,610.52,1,3,3,133,At Risk
12674.0,92,83,1970.6,2,4,4,244,Loyal Customers
12676.0,25,45,1331.39,4,3,4,434,Potential Loyalists
12678.0,43,165,17628.46,4,5,5,455,Loyal Customers
12679.0,0,48,1113.02,5,3,4,534,Potential Loyalists
12680.0,31,52,862.81,4,3,3,433,Potential Loyalists
12681.0,15,638,13787.54,5,5,5,555,Champions
12682.0,2,525,12288.22,5,5,5,555,Champions
12683.0,5,344,8476.57,5,5,5,555,Champions
12684.0,25,105,2283.63,4,4,5,445,Loyal Customers
12685.0,29,157,2863.08,4,5,5,455,Loyal Customers
12686.0,638,7,89.14,1,1,1,111,Lost Customers
12688.0,114,171,4873.8099999999995,2,5,5,255,Loyal Customers
12689.0,26,72,1247.61,4,4,4,444,Loyal Customers
12690.0,206,16,389.01,1,2,2,122,Lost Customers
12691.0,0,32,1035.8,5,3,4,534,Potential Loyalists
12693.0,5,39,855.91,5,3,3,533,Potential Loyalists
12694.0,71,37,869.67,3,3,3,333,Potential Loyalists
12695.0,108,27,582.1,2,2,3,223,Lost Customers
12697.0,29,41,957.59,4,3,4,434,Potential Loyalists
12700.0,127,268,4939.99,2,5,5,255,Loyal Customers
12701.0,36,53,797.71,4,3,3,433,Potential Loyalists
12702.0,20,12,219.0,4,1,1,411,Lost Customers
12703.0,71,21,283.55,3,2,2,322,Lost Customers
12704.0,23,88,2340.84,4,4,5,445,Loyal Customers
12705.0,16,334,6868.29,5,5,5,555,Champions
12707.0,292,33,603.42,1,3,3,133,At Risk
12708.0,60,157,2712.91,3,5,5,355,Loyal Customers
12709.0,0,208,9736.52,5,5,5,555,Champions
12710.0,202,77,1149.02,1,4,4,144,Loyal Customers
12712.0,9,133,4396.13,5,5,5,555,Champions
12713.0,89,38,848.55,2,3,3,233,At Risk
12714.0,10,259,4708.86,5,5,5,555,Champions
12715.0,107,21,353.86,2,2,2,222,Lost Customers
12716.0,134,69,1053.49,2,4,4,244,Loyal Customers
12717.0,33,55,1030.98,4,3,4,434,Potential Loyalists
12718.0,72,19,238.25,3,2,1,321,Lost Customers
12719.0,214,39,644.95,1,3,3,133,At Risk
12720.0,3,354,5781.73,5,5,5,555,Champions
12721.0,80,161,2656.13,3,5,5,355,Loyal Customers
12722.0,3,53,997.63,5,3,4,534,Potential Loyalists
12723.0,17,69,725.07,5,4,3,543,Potential Loyalists
12724.0,39,53,1031.41,4,3,4,434,Potential Loyalists
12725.0,638,24,427.8,1,2,2,122,Lost Customers
12726.0,29,124,2609.1,4,5,5,455,Loyal Customers
12727.0,11,139,3980.7,5,5,5,555,Champions
12728.0,39,46,836.33,4,3,3,433,Potential Loyalists
12729.0,114,26,453.01,2,2,2,222,Lost Customers
12731.0,24,274,18895.91,4,5,5,455,Loyal Customers
12732.0,180,12,236.26000000000002,2,1,1,211,Lost Customers
12733.0,235,22,383.95,1,2,2,122,Lost Customers
12734.0,353,4,110.39999999999999,1,1,1,111,Lost Customers
12735.0,192,43,779.5699999999999,1,3,3,133,At Risk
12736.0,39,4,234.0,4,1,1,411,Lost Customers
12738.0,665,11,155.35,1,1,1,111,Lost Customers
12739.0,79,38,1013.04,3,3,4,334,Potential Loyalists
12740.0,153,27,427.6,2,2,2,222,Lost Customers
12743.0,135,134,546.43,2,5,3,253,At Risk
12744.0,52,222,21279.29,3,5,5,355,Loyal Customers
12747.0,23,103,4196.01,4,4,5,445,Loyal Customers
12748.0,4,4595,33719.73,5,5,5,555,Champions
12749.0,23,199,4090.88,4,5,5,455,Loyal Customers
12750.0,277,15,275.88,1,2,2,122,Lost Customers
12752.0,82,53,4366.78,3,3,5,335,Potential Loyalists
12753.0,23,197,21429.39,4,5,5,455,Loyal Customers
12754.0,160,63,3010.74,2,4,5,245,Loyal Customers
12755.0,251,4,3811.95,1,1,5,115,Lost Customers
12756.0,87,4,112.07999999999998,3,1,1,311,Lost Customers
12757.0,4,371,7857.1,5,5,5,555,Champions
12758.0,117,97,2791.59,2,4,5,245,Loyal Customers
12759.0,53,95,1531.44,3,4,4,344,Loyal Customers
12762.0,26,69,1898.52,4,4,4,444,Loyal Customers
12763.0,139,18,494.08,2,2,3,223,Lost Customers
12764.0,317,45,1693.88,1,3,4,134,At Risk
12766.0,58,310,6989.63,3,5,5,355,Loyal Customers
12769.0,239,32,1143.6,1,3,4,134,At Risk
12770.0,211,12,1351.45,1,1,4,114,Lost Customers
12772.0,30,55,892.47,4,3,3,433,Potential Loyalists
12775.0,18,66,1386.04,5,4,4,544,Loyal Customers
12778.0,20,50,822.23,4,3,3,433,Potential Loyalists
12779.0,199,149,3981.36,1,5,5,155,Loyal Customers
12781.0,153,25,826.74,2,2,3,223,Lost Customers
12782.0,150,103,2330.92,2,4,5,245,Loyal Customers
12783.0,54,84,2225.91,3,4,5,345,Loyal Customers
12784.0,10,59,574.42,5,4,3,543,Potential Loyalists
12785.0,424,14,311.95,1,1,2,112,Lost Customers
12787.0,10,20,463.66,5,2,2,522,Lost Customers
12789.0,214,4,91.85,1,1,1,111,Lost Customers
12790.0,193,21,324.92,1,2,2,122,Lost Customers
12791.0,697,2,192.60000000000002,1,1,1,111,Lost Customers
12792.0,257,25,400.53999999999996,1,2,2,122,Lost Customers
12793.0,100,24,545.48,2,2,3,223,Lost Customers
12794.0,54,45,860.41,3,3,3,333,Potential Loyalists
12795.0,19,14,430.48,4,1,2,412,Lost Customers
12797.0,454,13,254.03,1,1,2,112,Lost Customers
12798.0,11,8,6977.04,5,1,5,515,Lost Customers
12802.0,187,25,427.58,2,2,2,222,Lost Customers
12808.0,126,28,483.65000000000003,2,2,2,222,Lost Customers
12809.0,178,25,489.31,2,2,2,222,Lost Customers
12811.0,261,31,514.85,1,3,3,133,At Risk
12812.0,45,15,229.64000000000001,3,2,1,321,Lost Customers
12814.0,102,2,125.92,2,1,1,211,Lost Customers
12815.0,148,47,1063.46,2,3,4,234,At Risk
12816.0,177,29,572.2,2,2,3,223,Lost Customers
12817.0,282,4,166.04,1,1,1,111,Lost Customers
12818.0,262,14,1542.08,1,1,4,114,Lost Customers
12820.0,45,59,942.34,3,4,4,344,Loyal Customers
12821.0,96,6,92.72,2,1,1,211,Lost Customers
12822.0,71,46,948.88,3,3,4,334,Potential Loyalists
12823.0,75,5,1759.5,3,1,4,314,Lost Customers
12824.0,30,25,397.12,4,2,2,422,Lost Customers
12826.0,60,91,1474.72,3,4,4,344,Loyal Customers
12827.0,45,25,430.15000000000003,3,2,2,322,Lost Customers
12828.0,113,56,1018.71,2,3,4,234,At Risk
12829.0,162,11,293.0,2,1,2,212,Lost Customers
12830.0,92,38,6814.64,2,3,5,235,At Risk
12831.0,263,9,215.05,1,1,1,111,Lost Customers
12832.0,152,27,383.03,2,2,2,222,Lost Customers
12833.0,146,24,417.38,2,2,2,222,Lost Customers
12834.0,310,18,312.38,1,2,2,122,Lost Customers
12836.0,30,175,2612.86,4,5,5,455,Loyal Customers
12837.0,174,12,134.1,2,1,1,211,Lost Customers
12838.0,182,123,683.13,2,5,3,253,At Risk
12839.0,12,314,5591.42,5,5,5,555,Champions
12840.0,65,113,2726.77,3,4,5,345,Loyal Customers
12841.0,4,420,4022.35,5,5,5,555,Champions
12842.0,71,34,1118.99,3,3,4,334,Potential Loyalists
12843.0,66,103,1702.26,3,4,4,344,Loyal Customers
12844.0,60,52,325.96000000000004,3,3,2,332,Potential Loyalists
12845.0,268,27,354.09,1,2,2,122,Lost Customers
12847.0,23,91,871.54,4,4,3,443,Potential Loyalists
12849.0,121,51,1050.8899999999999,2,3,4,234,At Risk
12851.0,245,50,135.18,1,3,1,131,At Risk
12852.0,295,17,311.55,1,2,2,122,Lost Customers
12853.0,135,78,1957.1000000000001,2,4,4,244,Loyal Customers
12854.0,6,110,1324.5,5,4,4,544,Loyal Customers
12855.0,666,3,38.1,1,1,1,111,Lost Customers
12856.0,19,314,2179.93,4,5,5,455,Loyal Customers
12857.0,69,46,1106.4,3,3,4,334,Potential Loyalists
12863.0,53,5,521.2,3,1,3,313,Lost Customers
12864.0,139,3,147.12,2,1,1,211,Lost Customers
12865.0,27,95,1568.23,4,4,4,444,Loyal Customers
12866.0,341,26,559.12,1,2,3,123,Lost Customers
12867.0,27,538,4036.82,4,5,5,455,Loyal Customers
12868.0,9,107,1607.0600000000002,5,4,4,544,Loyal Customers
12871.0,85,11,380.64,3,1,2,312,Lost Customers
12872.0,327,66,599.97,1,4,3,143,At Risk
12873.0,310,4,374.0,1,1,2,112,Lost Customers
12875.0,144,2,343.2300000000001,2,1,2,212,Lost Customers
12876.0,58,85,2218.02,3,4,5,345,Loyal Customers
12877.0,25,154,1535.77,4,5,4,454,Loyal Customers
12878.0,237,47,854.99,1,3,3,133,At Risk
12879.0,45,10,573.22,3,1,3,313,Lost Customers
12881.0,98,7,298.0,2,1,2,212,Lost Customers
12882.0,10,13,1463.04,5,1,4,514,Lost Customers
12883.0,25,42,703.47,4,3,3,433,Potential Loyalists
12884.0,1,7,309.05,5,1,2,512,Lost Customers
12885.0,124,71,1175.22,2,4,4,244,Loyal Customers
12886.0,249,82,1378.4,1,4,4,144,Loyal Customers
12888.0,96,5,354.12,2,1,2,212,Lost Customers
12890.0,24,82,380.46999999999997,4,4,2,442,Potential Loyalists
12891.0,157,3,331.0,2,1,2,212,Lost Customers
12893.0,90,34,188.14,2,3,1,231,At Risk
12895.0,43,22,372.8,4,2,2,422,Lost Customers
12897.0,38,4,216.5,4,1,1,411,Lost Customers
12901.0,11,116,17654.54,5,4,5,545,Loyal Customers
12902.0,265,10,138.68,1,1,1,111,Lost Customers
12904.0,19,72,509.58,4,4,3,443,Potential Loyalists
12906.0,12,63,2919.81,5,4,5,545,Loyal Customers
12908.0,177,2,750.0,2,1,3,213,Lost Customers
12909.0,40,91,2178.67,4,4,5,445,Loyal Customers
12910.0,6,75,3075.04,5,4,5,545,Loyal Customers
12912.0,15,24,1662.3,5,2,4,524,Lost Customers
12913.0,16,50,2483.63,5,3,5,535,Potential Loyalists
12915.0,149,22,363.65,2,2,2,222,Lost Customers
12916.0,139,107,3006.15,2,4,5,245,Loyal Customers
12917.0,277,2,594.0,1,1,3,113,Lost Customers
12919.0,2,50,1335.19,5,3,4,534,Potential Loyalists
12920.0,18,28,164.23,5,2,1,521,Lost Customers
12921.0,10,720,16587.09,5,5,5,555,Champions
12922.0,337,28,405.38,1,2,2,122,Lost Customers
12923.0,183,29,176.97,2,2,1,221,Lost Customers
12924.0,1,30,933.7,5,3,3,533,Potential Loyalists
12925.0,75,45,694.05,3,3,3,333,Potential Loyalists
12928.0,6,84,2062.7000000000003,5,4,5,545,Loyal Customers
12929.0,342,8,117.85,1,1,1,111,Lost Customers
12930.0,79,25,415.8,3,2,2,322,Lost Customers
12931.0,22,82,42055.96,4,4,5,445,Loyal Customers
12933.0,25,106,607.53,4,4,3,443,Potential Loyalists
12935.0,27,129,2160.7,4,5,5,455,Loyal Customers
12936.0,17,62,1063.9,5,4,4,544,Loyal Customers
12937.0,16,120,1504.27,5,4,4,544,Loyal Customers
12938.0,26,9,114.14,4,1,1,411,Lost Customers
12939.0,37,47,11581.8,4,3,5,435,Potential Loyalists
12940.0,55,99,913.54,3,4,3,343,Potential Loyalists
12942.0,132,75,683.9,2,4,3,243,At Risk
12944.0,243,30,604.51,1,3,3,133,At Risk
12945.0,289,23,462.95,1,2,2,122,Lost Customers
12947.0,65,97,1603.99,3,4,4,344,Loyal Customers
12948.0,17,116,2064.95,5,4,5,545,Loyal Customers
12949.0,90,215,4167.22,2,5,5,255,Loyal Customers
12950.0,25,23,1843.0,4,2,4,424,Lost Customers
12951.0,174,63,1064.07,2,4,4,244,Loyal Customers
12952.0,44,79,1387.79,3,4,4,344,Loyal Customers
12953.0,10,17,329.85,5,2,2,522,Lost Customers
12955.0,17,180,4757.16,5,5,5,555,Champions
12956.0,191,19,108.07,1,2,1,121,Lost Customers
12957.0,10,238,4017.54,5,5,5,555,Champions
12962.0,114,16,266.39,2,2,2,222,Lost Customers
12963.0,11,95,1856.63,5,4,4,544,Loyal Customers
12965.0,31,109,771.91,4,4,3,443,Potential Loyalists
